,setting,PDR
106,22.23.22,94
107,22.23.22,97
108,22.23.22,94
109,22.23.22,95
110,22.23.22,94
111,22.23.22,94
112,22.23.22,96
113,22.23.22,96
114,22.23.22,92
115,22.23.22,92
116,22.23.22,94
117,22.23.22,97
118,22.23.22,96
119,22.23.22,93
120,22.23.22,92
121,22.23.22,96
122,22.23.22,96
123,22.23.22,94
124,22.23.22,96
125,22.23.22,96
126,22.23.22,95
127,22.23.22,94
128,22.23.22,95
129,22.23.22,94
130,22.23.22,91
131,22.23.22,92
132,22.23.22,92
133,22.23.22,90
134,22.23.22,95
135,22.23.22,95
136,22.23.22,92
137,22.23.22,92
138,22.23.22,91
139,22.23.22,94
140,22.23.22,96
141,22.23.22,97
142,22.23.22,90
143,22.23.22,98
144,22.23.22,95
145,22.23.22,96
146,22.23.22,94
147,22.23.22,93
148,22.23.22,92
149,22.23.22,94
150,22.23.22,95
151,22.23.22,96
152,22.23.22,95
153,22.23.22,97
154,22.23.22,96
155,22.23.22,92
156,22.23.22,95
157,22.23.22,94
158,22.23.22,98
159,22.23.22,94
160,22.23.22,95
161,22.23.22,96
162,22.23.22,97
163,22.23.22,94
164,22.23.22,97
165,22.23.22,91
166,22.23.22,95
167,22.23.22,92
168,22.23.22,89
169,22.23.22,92
170,22.23.22,94
171,22.23.22,94
172,22.23.22,90
173,22.23.22,94
174,22.23.22,97
175,22.23.22,92
176,22.23.22,96
177,22.23.22,96
178,22.23.22,96
179,22.23.22,96
180,22.23.22,93
181,22.23.22,96
182,22.23.22,96
183,22.23.22,94
184,22.23.22,95
185,22.23.22,95
186,22.23.22,95
187,22.23.22,97
188,22.23.22,95
189,22.23.22,93
190,22.23.22,94
191,22.23.22,97
192,22.23.22,94
193,22.23.22,94
194,22.23.22,97
195,22.23.22,96
196,22.23.22,95
197,22.23.22,97
198,22.23.22,97
199,22.23.22,95
200,22.23.22,96
201,22.23.22,94
202,22.23.22,95
203,22.23.22,94
204,22.23.22,97
205,22.23.22,92
206,22.23.22,96
207,22.23.22,94
208,22.23.22,94
209,22.23.22,95
210,22.23.22,94
211,22.23.22,95
212,22.23.22,94
213,22.23.22,96
214,22.23.22,95
215,22.23.22,95
216,22.23.22,98
217,22.23.22,98
218,22.23.22,95
219,22.23.22,93
220,22.23.22,91
221,22.23.22,95
222,22.23.22,96
223,22.23.22,97
224,22.23.22,95
225,22.23.22,95
226,22.23.22,96
227,22.23.22,96
228,22.23.22,95
229,22.23.22,96
230,22.23.22,97
231,22.23.22,96
232,22.23.22,96
233,22.23.22,96
234,22.23.22,96
235,22.23.22,95
236,22.23.22,93
237,22.23.22,94
238,22.23.22,95
239,22.23.22,93
240,22.23.22,92
241,22.23.22,97
242,22.23.22,96
243,22.23.22,94
244,22.23.22,92
245,22.23.22,95
246,22.23.22,93
247,22.23.22,95
248,22.23.22,98
249,22.23.22,98
250,22.23.22,95
251,22.23.22,97
252,22.23.22,95
253,22.23.22,98
254,22.23.22,94
255,22.23.22,96
256,22.23.22,98
257,22.23.22,95
258,22.23.22,95
259,22.23.22,92
260,22.23.22,94
261,22.23.22,94
262,22.23.22,97
263,22.23.22,97
264,22.23.22,96
265,22.23.22,94
266,22.23.22,92
267,22.23.22,96
268,22.23.22,95
269,22.23.22,98
270,22.23.22,94
271,22.23.22,89
272,22.23.22,96
273,22.23.22,95
274,22.23.22,93
275,22.23.22,94
276,22.23.22,97
277,22.23.22,94
278,22.23.22,97
279,22.23.22,96
280,22.23.22,97
281,22.23.22,94
282,22.23.22,97
283,22.23.22,93
284,22.23.22,96
285,22.23.22,94
286,22.23.22,95
287,22.23.22,94
288,22.23.22,94
289,22.23.22,90
290,22.23.22,95
291,22.23.22,95
292,22.23.22,92
293,22.23.22,97
294,22.23.22,94
295,22.23.22,93
296,22.23.22,95
297,22.23.22,97
298,22.23.22,94
299,22.23.22,96
300,22.23.22,94
301,22.23.22,97
302,22.23.22,95
303,22.23.22,94
304,22.23.22,96
305,22.23.22,97
306,22.23.22,95
307,22.23.22,95
308,22.23.22,97
309,22.23.22,95
310,22.23.22,95
311,22.23.22,93
312,22.23.22,96
313,22.23.22,95
314,22.23.22,93
315,22.23.22,96
316,22.23.22,94
317,22.23.22,91
318,22.23.22,96
319,22.23.22,95
320,22.23.22,97
321,22.23.22,97
322,22.23.22,96
323,22.23.22,92
324,22.23.22,92
325,22.23.22,94
326,22.23.22,95
327,22.23.22,96
328,22.23.22,94
329,22.23.22,91
330,22.23.22,93
331,22.23.22,97
332,22.23.22,97
333,22.23.22,96
334,22.23.22,98
335,22.23.22,97
336,22.23.22,96
337,22.23.22,98
338,22.23.22,95
339,22.23.22,95
340,22.23.22,94
341,22.23.22,94
342,22.23.22,94
343,22.23.22,95
344,22.23.22,94
345,22.23.22,92
346,22.23.22,96
347,22.23.22,98
348,22.23.22,97
349,22.23.22,95
350,22.23.22,92
351,22.23.22,96
352,22.23.22,96
353,22.23.22,94
354,22.23.22,98
355,22.23.22,95
356,22.23.22,90
357,22.23.22,93
358,22.23.22,94
359,22.23.22,92
360,22.23.22,97
361,22.23.22,96
362,22.23.22,96
363,22.23.22,94
364,22.23.22,95
365,22.23.22,92
366,22.23.22,93
367,22.23.22,95
368,22.23.22,94
369,22.23.22,94
370,22.23.22,96
371,22.23.22,96
372,22.23.22,97
373,22.23.22,95
374,22.23.22,95
375,22.23.22,95
376,22.23.22,94
377,22.23.22,95
378,22.23.22,94
379,22.23.22,95
380,22.23.22,93
381,22.23.22,92
382,22.23.22,96
383,22.23.22,94
384,22.23.22,94
385,22.23.22,96
386,22.23.22,92
387,22.23.22,96
388,22.23.22,96
389,22.23.22,95
390,22.23.22,94
391,22.23.22,95
392,22.23.22,94
393,22.23.22,96
394,22.23.22,91
395,22.23.22,96
396,22.23.22,97
397,22.23.22,91
398,22.23.22,94
399,22.23.22,95
400,22.23.22,96
401,22.23.22,97
402,22.23.22,95
403,22.23.22,92
404,22.23.22,93
405,22.23.22,95
406,22.23.22,95
407,22.23.22,95
408,22.23.22,96
409,22.23.22,93
410,22.23.22,89
411,22.23.22,94
412,22.23.22,94
413,22.23.22,97
414,22.23.22,93
,avg,94.48
,std,1.997372011
